group,team,fifa_rank
A,Mexico,14
A,South Korea,25
A,Czechia,40
A,South Africa,60
B,Switzerland,19
B,Canada,30
B,Qatar,56
B,Bosnia and Herzegovina,64
C,Brazil,6
C,Morocco,7
C,Scotland,42
C,Haiti,83
D,United States,17
D,Türkiye,22
D,Australia,27
D,Paraguay,41
E,Germany,10
E,Ecuador,23
E,Ivory Coast,33
E,Curaçao,82
F,Netherlands,8
F,Japan,18
F,Sweden,38
F,Tunisia,45
G,Belgium,9
G,Iran,20
G,Egypt,29
G,New Zealand,85
H,Spain,2
H,Uruguay,16
H,Saudi Arabia,61
H,Cape Verde,67
I,France,3
I,Senegal,15
I,Norway,31
I,Iraq,57
J,Argentina,1
J,Austria,24
J,Algeria,28
J,Jordan,63
K,Portugal,5
K,Colombia,13
K,DR Congo,46
K,Uzbekistan,50
L,England,4
L,Croatia,11
L,Panama,34
L,Ghana,73
