team,match_number,tag,points,reason
Canada,73,narrow_win,1,"Edged South Africa 1-0; advanced but rarely looked dangerous"
Paraguay,74,penalty_win,3,"Advanced on penalties over Germany"
Paraguay,74,extra_time_fatigue,-2,"Played 120 minutes plus a shootout against Germany"
Morocco,75,penalty_win,3,"Advanced on penalties over Netherlands"
Morocco,75,low_block_success,3,"Low block held Netherlands to 1-1 across 120 minutes"
Morocco,75,extra_time_fatigue,-2,"Played 120 minutes plus a shootout against Netherlands"
France,77,dominant_win,5,"Beat Sweden 3-0"
Mexico,79,dominant_win,2,"Handled Ecuador cleanly"
England,80,late_comeback,2,"Trailing to DR Congo, came back late to advance"
England,80,defensive_warning,-4,"Trailed DR Congo until minute 75; slow-start warning against a much weaker opponent"
United States,81,dominant_win,3,"Clean 2-0 win over Bosnia and Herzegovina"
Belgium,82,late_comeback,4,"Came from 0-2 down vs Senegal"
Belgium,82,defensive_warning,-3,"Conceded twice before comeback"
Portugal,83,late_comeback,4,"Came back vs Croatia with 90+4 winner"
Croatia,83,late_collapse_warning,-4,"Conceded late after leading"
Spain,84,dominant_win,5,"Beat Austria 3-0"
Switzerland,85,dominant_win,2,"Clean 2-0 win over Algeria"
Argentina,86,extra_time_fatigue,-2,"Played 120 minutes against Cabo Verde, needing a late own goal to escape a shock exit"
Colombia,87,narrow_win,1,"Edged Ghana 1-0 on an early goal; couldn't add a second and let the game stay open"
Egypt,88,penalty_win,3,"Advanced on penalties 4-2 over New Zealand"
Egypt,88,extra_time_fatigue,-2,"Played 120 minutes plus a shootout against New Zealand"
Spain,101,dominant_win,6,"Dominated France 2-0, controlled the semifinal, and neutralized France's attack"
Argentina,102,late_comeback,2,"Punished England's premature low block with sustained pressure and goals at 85' and 90+2', after England had been better early"
England,102,late_collapse_warning,-5,"Were better early and led after 55 minutes, but parked the bus too soon and invited the pressure that produced goals at 85' and 90+2'"
