team,penalty_strength,keeper_penalty_strength,penalty_taker_depth,shootout_wins,shootout_losses,world_cup_shootout_wins,world_cup_shootout_losses,continental_shootout_wins,continental_shootout_losses,tournament_experience,manager_continuity,notes
Argentina,82,86,78,13,6,6,1,7,5,90,88,"Very strong modern shootout profile and elite keeper reputation."
Australia,70,72,64,4,1,1,0,3,1,64,66,"Strong recent shootout record relative to team strength."
Belgium,68,66,72,1,0,1,0,0,0,76,58,"Small sample but positive history; experienced takers."
Brazil,70,68,74,4,4,2,3,2,1,84,52,"Mixed shootout history; strong taker depth."
Canada,54,56,52,0,1,0,0,0,1,48,72,"Limited knockout shootout record."
Colombia,72,74,70,3,3,1,1,2,2,74,78,"Balanced penalty profile with tournament-tested group."
England,66,68,74,2,5,1,3,1,2,82,62,"Improved takers but historically fragile in World Cup shootouts."
France,68,70,72,4,5,2,3,2,2,88,86,"Elite tournament team but mixed penalty history."
Mexico,58,58,56,1,4,0,2,1,2,70,62,"Penalty history is a concern despite home edge."
Morocco,70,82,64,2,1,1,0,1,1,70,76,"Keeper/shootout confidence after major knockout wins."
Norway,58,60,56,0,1,0,0,0,1,54,70,"Limited shootout evidence."
Paraguay,68,72,62,4,1,1,0,3,1,62,70,"Penalty-survival edge reinforced by Germany shootout win."
Portugal,76,78,76,5,3,2,1,3,2,86,78,"Strong takers and keeper profile; high knockout experience."
Spain,70,72,70,4,4,1,3,3,1,86,76,"Better current side than historical shootout reputation."
Switzerland,58,60,60,1,6,0,3,1,3,72,74,"Shootout record remains a major downside."
United States,64,66,62,3,2,0,1,3,1,66,68,"Decent penalty profile, home pressure cuts both ways."
