team,elo_adj_last5,elo_adj_last10,gf_adj,ga_adj,xg_diff
Argentina,0.54,0.5,0.62,0.28,0.5
Australia,0.08,0.02,0.1,0.48,-0.04
Belgium,0.27,0.18,0.42,0.44,0.19
Brazil,0.36,0.34,0.46,0.36,0.3
Canada,0.13,0.04,0.12,0.4,0.03
Colombia,0.35,0.28,0.32,0.34,0.29
England,0.18,0.22,0.3,0.36,0.14
France,0.83,0.66,0.86,0.2,0.77
Mexico,0.44,0.3,0.4,0.3,0.36
Morocco,0.36,0.26,0.28,0.26,0.26
Norway,0.24,0.2,0.34,0.42,0.16
Paraguay,0.19,0.1,0.06,0.28,0.05
Portugal,0.22,0.24,0.28,0.34,0.18
Spain,0.75,0.58,0.72,0.14,0.73
Switzerland,0.24,0.18,0.2,0.28,0.18
United States,0.19,0.1,0.22,0.38,0.11
